installation__nom,code_alarme__code_constructeur,code_alarme__marque,code_alarme__type_alarme,code_alarme__gravite,date_declenchement,est_resolue
A1,2001,Huawei,DC,majeure,2025-04-11 13:56:39.345519+00:00,True
A1,2001,Huawei,DC,majeure,2025-04-11 15:05:24.349278+00:00,True
A1,2001,Huawei,DC,majeure,2025-04-11 21:11:50.505834+00:00,False
A1,2001,Huawei,DC,majeure,2025-04-11 21:12:52.031326+00:00,False
A1,2001,Huawei,DC,majeure,2025-04-11 21:13:45.203965+00:00,False
A1,2001,Huawei,DC,majeure,2025-04-11 21:13:52.132011+00:00,False
A1,2001,Huawei,DC,majeure,2025-04-11 21:14:34.445922+00:00,False
A1,2001,Huawei,DC,majeure,2025-04-11 21:15:27.401324+00:00,False
A1,2001,Huawei,DC,majeure,2025-04-11 21:18:45.972066+00:00,False
A1,2001,Huawei,DC,majeure,2025-04-11 21:24:45.228787+00:00,False
A1,2001,Huawei,DC,majeure,2025-04-11 21:25:59.348405+00:00,False
A1,2001,Huawei,DC,majeure,2025-04-11 21:30:14.781111+00:00,False
A1,F27,Kstar,Terre,majeure,2025-04-11 21:35:08.258862+00:00,True
A1,F27,Kstar,Terre,majeure,2025-04-11 21:31:25.793141+00:00,True
A1,2001,Huawei,DC,majeure,2025-04-11 21:31:01.233294+00:00,True
A1,2001,Huawei,DC,majeure,2025-04-11 21:30:40.578112+00:00,True
A2,2001,Kstar,Terre,mineure,2025-04-11 22:12:29.824525+00:00,False
A1,2001,Huawei,DC,majeure,2025-04-11 21:30:38.159014+00:00,True
